seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr6,59208517,59209921,1405,*,9.55,9.69,9.4,0.29,0.00623,0.0419
chr3,107594791,107596894,2104,*,8.35,8.57,8.1,0.47,0.00623,0.0419
chr9,35267268,35268569,1302,*,8.59,8.77,8.37,0.4,0.00624,0.0419
chr4,33923281,33925502,2222,*,9.44,9.59,9.26,0.34,0.00624,0.042
chr6,13069056,13070839,1784,*,9.36,9.51,9.2,0.31,0.00624,0.042
chr4,105108514,105110739,2226,*,9.2,9.35,9.03,0.32,0.00624,0.042
chr6,142830984,142832176,1193,*,8.48,8.68,8.24,0.44,0.00625,0.042
chr4,126057668,126058903,1236,*,8.53,8.71,8.31,0.4,0.00625,0.042
chr17,71597977,71599695,1719,*,9.09,9.26,8.9,0.35,0.00625,0.042
chr4,127362394,127363591,1198,*,7.97,8.2,7.68,0.52,0.00625,0.042
chr9,14784150,14785493,1344,*,9.41,9.55,9.25,0.3,0.00626,0.042
chr19,24173588,24175172,1585,*,8.98,9.16,8.78,0.38,0.00626,0.042
chr9,56089609,56090668,1060,*,8.69,8.87,8.49,0.39,0.00626,0.042
chr14,25633709,25634757,1049,*,7.82,8.06,7.54,0.53,0.00626,0.042
chr13,23530168,23531935,1768,*,9.7,9.83,9.56,0.28,0.00626,0.042
chr1,93803428,93804705,1278,*,9.7,9.84,9.56,0.28,0.00626,0.042
chrX,12127799,12129904,2106,*,9.17,9.32,9,0.32,0.00626,0.042
chr16,35154043,35156806,2764,*,8.68,8.88,8.46,0.42,0.00627,0.042
chr1,138191499,138192540,1042,*,8.52,8.71,8.3,0.41,0.00627,0.042
chr14,14345510,14346789,1280,*,9.7,9.83,9.56,0.28,0.00627,0.042
chr13,28946534,28947268,735,*,7.45,7.74,7.08,0.66,0.00627,0.042
chr4,3079823,3085132,5310,*,9.95,10.09,9.79,0.3,0.00627,0.042
chr15,27701743,27703750,2008,*,8.9,9.27,8.39,0.89,0.00628,0.042
chr15,51864596,51865990,1395,*,9.09,9.25,8.91,0.34,0.00628,0.042
chr17,87330631,87332037,1407,*,8.22,8.43,7.98,0.45,0.00628,0.042
chr3,7502954,7504139,1186,*,9.17,9.32,9,0.32,0.00629,0.042
chr9,27193195,27193994,800,*,8.54,8.73,8.31,0.41,0.00629,0.042
chr2,57997643,57998745,1103,*,7.6,7.86,7.28,0.59,0.00629,0.0421
JH584304.1,39877,40858,982,*,8.98,9.15,8.79,0.36,0.00629,0.0421
chr2,6273059,6274311,1253,*,8.69,8.87,8.48,0.39,0.0063,0.0421
chr19,40394409,40395836,1428,*,8.14,8.36,7.89,0.47,0.0063,0.0421
chr1,101901731,101903048,1318,*,8.92,9.08,8.73,0.35,0.0063,0.0421
chr4,100095671,100096860,1190,*,8.7,8.89,8.49,0.4,0.0063,0.0421
chr14,118981802,118983405,1604,*,8.92,9.08,8.73,0.36,0.0063,0.0421
chrY,90800366,90800965,600,*,7.27,7.57,6.9,0.67,0.00631,0.0421
chr10,126070458,126071771,1314,*,7.56,7.84,7.22,0.61,0.00632,0.0422
chr14,102981393,102983513,2121,*,10.35,10.46,10.22,0.24,0.00632,0.0422
chr6,91978386,91980162,1777,*,8.37,8.57,8.13,0.44,0.00632,0.0422
chr8,47412455,47414331,1877,*,8.44,8.64,8.21,0.43,0.00632,0.0422
chr18,38249668,38250892,1225,*,9.05,9.22,8.87,0.35,0.00633,0.0422
chr1,79760739,79762376,1638,*,9.01,9.17,8.82,0.34,0.00633,0.0422
chr3,10288418,10289235,818,*,7.57,7.84,7.26,0.58,0.00633,0.0422
chr9,88437635,88439683,2049,*,9.72,9.85,9.58,0.27,0.00633,0.0422
chr10,8758900,8759851,952,*,8.33,8.54,8.08,0.46,0.00634,0.0422
chr11,20248328,20249987,1660,*,9.47,9.62,9.3,0.31,0.00635,0.0422
chr10,62865056,62866041,986,*,8.04,8.26,7.77,0.5,0.00635,0.0422
chr9,110676477,110677212,736,*,8.59,8.77,8.38,0.39,0.00635,0.0422
chr6,54162599,54163279,681,*,8.27,8.47,8.03,0.44,0.00635,0.0422
chr9,40191902,40193314,1413,*,9.12,9.28,8.94,0.35,0.00635,0.0422
chr10,125965840,125967505,1666,*,9.17,9.33,9,0.33,0.00636,0.0423
chr3,101923544,101924838,1295,*,8.58,8.77,8.37,0.4,0.00636,0.0423
chr14,47417749,47418642,894,*,8.35,8.55,8.12,0.43,0.00638,0.0424
chr10,89685475,89686924,1450,*,9.2,9.35,9.03,0.32,0.00638,0.0424
chr12,113219968,113220846,879,*,8.17,8.38,7.92,0.46,0.00638,0.0424
chr5,52564964,52566758,1795,*,7.88,8.13,7.57,0.57,0.0064,0.0425
chr19,60226054,60226984,931,*,8.4,8.6,8.17,0.43,0.0064,0.0425
chr5,36988417,36989960,1544,*,9.26,9.41,9.08,0.33,0.0064,0.0425
chr16,38701518,38702470,953,*,8.31,8.51,8.07,0.44,0.00641,0.0425
chr12,111813479,111814619,1141,*,9.44,9.59,9.28,0.31,0.00641,0.0425
chr3,129830472,129831792,1321,*,9.49,9.63,9.33,0.29,0.00641,0.0425
chr1,74816552,74817513,962,*,8.33,8.53,8.1,0.43,0.00642,0.0426
chr17,56583779,56585599,1821,*,9.78,9.91,9.64,0.27,0.00642,0.0426
chr5,98198516,98199808,1293,*,8.13,8.37,7.84,0.53,0.00642,0.0426
chr7,28382798,28383323,526,*,8.03,8.25,7.76,0.5,0.00642,0.0426
chrX,36988778,36990319,1542,*,8.74,8.92,8.53,0.38,0.00643,0.0426
chr7,74553936,74555836,1901,*,9.62,9.76,9.47,0.29,0.00643,0.0426
chr18,38296340,38297691,1352,*,9.44,9.59,9.27,0.32,0.00643,0.0426
chr18,16958414,16959725,1312,*,7.73,7.99,7.4,0.59,0.00643,0.0426
chr11,88998931,89000739,1809,*,8.82,8.99,8.62,0.36,0.00643,0.0426
chr19,47865048,47866110,1063,*,8.89,9.06,8.7,0.36,0.00643,0.0426
chr9,36796314,36797784,1471,*,8.9,9.07,8.71,0.36,0.00643,0.0426
chr2,105126321,105128209,1889,*,8.41,8.61,8.18,0.43,0.00644,0.0426
chr4,99828493,99829897,1405,*,8.51,8.7,8.3,0.4,0.00644,0.0426
chr16,4673610,4674769,1160,*,8.46,8.66,8.23,0.43,0.00644,0.0426
chr3,90603321,90605016,1696,*,9.3,9.45,9.14,0.32,0.00644,0.0426
chr12,70110515,70112409,1895,*,9.17,9.33,8.99,0.34,0.00644,0.0426
chr17,17825991,17828950,2960,*,10.18,10.31,10.04,0.27,0.00645,0.0426
chr11,55204026,55204961,936,*,7.8,8.04,7.5,0.54,0.00645,0.0426
chr14,24490396,24491919,1524,*,8.82,8.99,8.62,0.37,0.00645,0.0426
chr3,14578273,14579915,1643,*,9.56,9.7,9.4,0.3,0.00645,0.0426
chr7,19359107,19360631,1525,*,8.96,9.12,8.78,0.35,0.00645,0.0426
chr9,23378573,23379624,1052,*,8.09,8.32,7.83,0.48,0.00646,0.0426
chr3,28780761,28782107,1347,*,9.25,9.41,9.07,0.34,0.00646,0.0426
chr2,136057791,136059694,1904,*,7.83,8.06,7.54,0.52,0.00647,0.0427
chr10,78184531,78185907,1377,*,8.87,9.04,8.67,0.37,0.00647,0.0427
chr10,19849597,19852177,2581,*,9.05,9.22,8.86,0.36,0.00648,0.0427
chr12,21315888,21317006,1119,*,8.42,8.62,8.2,0.42,0.00648,0.0427
chr8,122665024,122666161,1138,*,8.94,9.11,8.75,0.36,0.00648,0.0427
chr5,65491829,65493668,1840,*,9.77,9.91,9.61,0.3,0.00648,0.0427
chrX,136741044,136742241,1198,*,9.71,9.85,9.55,0.29,0.00648,0.0427
chr3,101003553,101004359,807,*,7.86,8.1,7.58,0.52,0.00648,0.0427
chr17,22360403,22362092,1690,*,8.73,8.9,8.53,0.38,0.00649,0.0427
chr17,17373513,17374949,1437,*,9.46,9.6,9.31,0.29,0.00649,0.0427
chr8,91133354,91134637,1284,*,9.47,9.62,9.3,0.31,0.00649,0.0427
chr9,26805926,26806931,1006,*,9.03,9.2,8.84,0.36,0.00649,0.0427
chr11,32558542,32559222,681,*,8.19,8.41,7.94,0.47,0.00649,0.0427
chr12,88436937,88437922,986,*,7.91,8.14,7.63,0.51,0.0065,0.0427
chr1,150392467,150393864,1398,*,10,10.13,9.86,0.27,0.0065,0.0427
chr3,57651127,57652158,1032,*,8.22,8.43,7.98,0.45,0.0065,0.0427
chr12,99391849,99394019,2171,*,9.84,9.98,9.69,0.28,0.00651,0.0428
chr4,148083285,148084077,793,*,7.98,8.2,7.71,0.49,0.00651,0.0428
chr1,72283802,72284813,1012,*,8.65,8.83,8.44,0.38,0.00651,0.0428
chr18,60746987,60749037,2051,*,8.98,9.14,8.8,0.34,0.00652,0.0428
chr4,106955584,106956704,1121,*,7.36,7.65,7.01,0.64,0.00652,0.0428
chr14,103069536,103071050,1515,*,9.65,9.79,9.49,0.29,0.00652,0.0428
chr14,14904720,14905723,1004,*,8.28,8.48,8.04,0.44,0.00652,0.0428
chr10,7062377,7063809,1433,*,8.58,8.77,8.36,0.4,0.00652,0.0428
chr14,86646364,86647266,903,*,7.6,7.91,7.19,0.72,0.00652,0.0428
chr7,30090143,30091487,1345,*,9.39,9.53,9.23,0.3,0.00652,0.0428
chr6,120492289,120494322,2034,*,8.89,9.06,8.7,0.36,0.00652,0.0428
chr10,119238881,119240857,1977,*,9.95,10.08,9.81,0.27,0.00653,0.0428
chr11,7758825,7759731,907,*,7.68,7.93,7.37,0.57,0.00653,0.0428
chr4,63942710,63943590,881,*,7.43,7.75,7.03,0.72,0.00653,0.0428
chr8,31089207,31090249,1043,*,7.57,7.84,7.23,0.61,0.00654,0.0428
chr15,3356008,3357092,1085,*,7.74,7.99,7.45,0.54,0.00654,0.0428
chr1,92910368,92911995,1628,*,9.06,9.22,8.87,0.34,0.00654,0.0428
chr9,35569398,35570839,1442,*,9.46,9.6,9.3,0.3,0.00654,0.0428
chr4,94613949,94615142,1194,*,8.78,8.96,8.59,0.37,0.00654,0.0428
chr11,58846817,58848117,1301,*,8.53,8.72,8.31,0.41,0.00654,0.0428
chr18,46152850,46154266,1417,*,7.67,7.92,7.36,0.56,0.00654,0.0428
chr2,9876760,9877645,886,*,7.78,8.02,7.49,0.53,0.00654,0.0428
chr12,91778504,91779477,974,*,8.83,9,8.63,0.37,0.00654,0.0428
chr16,19982645,19983224,580,*,8.11,8.34,7.83,0.51,0.00655,0.0428
chr1,171501660,171504403,2744,*,10.02,10.14,9.9,0.25,0.00655,0.0428
chr7,38018263,38019985,1723,*,9.28,9.43,9.12,0.31,0.00655,0.0428
chr7,68102514,68103648,1135,*,8.01,8.24,7.74,0.5,0.00656,0.0428
chr4,84883780,84885438,1659,*,9.24,9.39,9.06,0.33,0.00656,0.0428
chr17,65612375,65614615,2241,*,10.3,10.42,10.17,0.25,0.00656,0.0428
chr6,39379165,39380065,901,*,8.54,8.73,8.33,0.4,0.00657,0.0429
chr16,84590483,84591546,1064,*,7.32,6.92,7.63,-0.72,0.00657,0.0429
chr8,4335536,4336593,1058,*,8.17,8.38,7.92,0.47,0.00657,0.0429
chr8,94601106,94602953,1848,*,9.51,9.66,9.35,0.31,0.00657,0.0429
chr2,60382158,60383695,1538,*,9.03,9.19,8.85,0.34,0.00657,0.0429
chr5,38479766,38480712,947,*,8.14,8.36,7.88,0.48,0.00658,0.0429
chr1,42952520,42953742,1223,*,8.79,8.98,8.57,0.4,0.00658,0.0429
chr10,77864199,77865153,955,*,8.82,8.99,8.62,0.37,0.00658,0.0429
chr14,122035808,122036511,704,*,7.74,7.99,7.43,0.56,0.00658,0.0429
chr3,129215514,129216525,1012,*,7.29,7.57,6.94,0.63,0.00659,0.0429
chr4,83485559,83487002,1444,*,9.75,9.88,9.6,0.28,0.00659,0.0429
chr1,131096522,131098111,1590,*,9.67,9.81,9.52,0.29,0.0066,0.0429
chr10,39731049,39733329,2281,*,10.52,10.64,10.4,0.24,0.0066,0.0429
chr5,90930413,90932331,1919,*,9.24,9.39,9.06,0.32,0.0066,0.0429
chrX,142227452,142229340,1889,*,8.99,9.15,8.81,0.34,0.0066,0.0429
chr1,165281411,165282792,1382,*,8.53,8.71,8.31,0.4,0.00661,0.043
chr2,106002695,106003732,1038,*,8.65,8.83,8.44,0.39,0.00661,0.043
chr2,38710206,38711177,972,*,7.3,7.59,6.94,0.65,0.00663,0.0431
chr4,10702978,10704015,1038,*,7.85,8.09,7.56,0.53,0.00663,0.0431
chr6,122308307,122310000,1694,*,9.86,9.99,9.71,0.28,0.00663,0.0431
chr3,146450021,146451135,1115,*,9.01,9.18,8.83,0.34,0.00663,0.0431
chr4,130899472,130900380,909,*,7.94,8.17,7.66,0.51,0.00663,0.0431
chr18,67799690,67800871,1182,*,8.89,9.06,8.7,0.36,0.00664,0.0431
chr4,120924487,120925860,1374,*,9.27,9.42,9.1,0.31,0.00664,0.0431
chr4,148940196,148941667,1472,*,8.88,9.05,8.69,0.36,0.00665,0.0432
chr5,103655342,103656152,811,*,8.29,8.5,8.04,0.46,0.00665,0.0432
chr3,95159839,95161550,1712,*,8.86,9.03,8.67,0.36,0.00666,0.0432
chr17,56934675,56936100,1426,*,9.4,9.54,9.23,0.31,0.00666,0.0432
chr10,33950423,33951793,1371,*,9.29,9.44,9.12,0.32,0.00666,0.0432
chr5,145231229,145232443,1215,*,9.21,9.36,9.04,0.32,0.00666,0.0432
chr2,125455714,125456845,1132,*,8.34,8.57,8.06,0.51,0.00667,0.0432
chr8,94966539,94967951,1413,*,9,9.16,8.82,0.34,0.00667,0.0432
chr7,12961103,12962287,1185,*,8.71,8.89,8.51,0.38,0.00667,0.0432
chr12,83687741,83689334,1594,*,9.08,9.25,8.9,0.34,0.00667,0.0432
chrX,81070088,81071596,1509,*,8.41,8.61,8.16,0.45,0.00667,0.0432
chr10,63009951,63010946,996,*,8.43,8.63,8.21,0.42,0.00668,0.0432
chr19,8591341,8593041,1701,*,8.21,8.45,7.92,0.52,0.00668,0.0432
chr4,35099656,35100675,1020,*,8.51,8.7,8.29,0.41,0.00668,0.0432
chr10,112928071,112929533,1463,*,9.11,9.27,8.93,0.35,0.00668,0.0432
chr3,115984880,115986103,1224,*,8.11,8.32,7.85,0.47,0.00669,0.0432
chr8,68793354,68794715,1362,*,9.13,9.28,8.96,0.32,0.00669,0.0432
chr18,84292948,84294584,1637,*,9.01,9.17,8.83,0.34,0.00669,0.0432
chr7,104400411,104401487,1077,*,7.75,8.01,7.43,0.57,0.00669,0.0433
chr1,79751150,79752686,1537,*,7.55,7.81,7.24,0.58,0.0067,0.0433
chr10,11280334,11282544,2211,*,10.21,10.34,10.07,0.27,0.0067,0.0433
chr9,37347184,37348900,1717,*,9.33,9.47,9.16,0.31,0.0067,0.0433
chr5,129724373,129725915,1543,*,9.22,9.37,9.05,0.32,0.00671,0.0433
chr5,92278938,92279637,700,*,7.93,8.16,7.66,0.5,0.00671,0.0433
chr7,75455007,75456472,1466,*,9.55,9.7,9.39,0.31,0.00671,0.0433
chr16,90829791,90831652,1862,*,9.15,9.31,8.97,0.34,0.00672,0.0433
chr8,13964224,13965480,1257,*,8.37,8.59,8.1,0.49,0.00672,0.0433
chr4,66827289,66829164,1876,*,9.34,9.49,9.18,0.31,0.00672,0.0433
chrX,147553159,147554584,1426,*,8.63,8.82,8.42,0.39,0.00672,0.0433
chr12,112828721,112830119,1399,*,9.51,9.66,9.35,0.3,0.00672,0.0433
chrX,74312521,74313786,1266,*,8.36,8.56,8.14,0.42,0.00672,0.0433
chr12,100183822,100184523,702,*,8.06,8.28,7.8,0.48,0.00672,0.0433
chr19,37018050,37018974,925,*,7.72,7.98,7.41,0.57,0.00673,0.0433
chr19,23273251,23274342,1092,*,8.43,8.62,8.2,0.42,0.00673,0.0433
JH584304.1,55451,55841,391,*,8.31,8.52,8.08,0.44,0.00673,0.0433
chr10,93452701,93453879,1179,*,9.26,9.41,9.09,0.32,0.00673,0.0433
chr11,34833237,34834218,982,*,8.61,8.79,8.4,0.39,0.00673,0.0433
chr16,94698180,94699465,1286,*,8.08,8.32,7.78,0.54,0.00673,0.0433
chr13,17693892,17696167,2276,*,10.21,10.33,10.07,0.25,0.00674,0.0433
chr10,26798601,26800252,1652,*,9.1,9.26,8.93,0.33,0.00674,0.0433
chr4,75778905,75780111,1207,*,8.31,8.54,8.05,0.49,0.00674,0.0433
chr6,57824165,57825686,1522,*,9.48,9.62,9.32,0.3,0.00674,0.0434
chr17,50508406,50510134,1729,*,9.56,9.7,9.41,0.3,0.00675,0.0434
chr3,55111770,55113446,1677,*,9.07,9.23,8.89,0.34,0.00676,0.0434
chr19,43689168,43690211,1044,*,8.95,9.13,8.76,0.37,0.00676,0.0434
chr12,25054350,25055267,918,*,8.04,8.26,7.78,0.48,0.00676,0.0434
chr2,133551940,133553440,1501,*,8.85,9.03,8.65,0.37,0.00676,0.0434
chrX,95025545,95027127,1583,*,8.23,8.44,7.99,0.45,0.00677,0.0435
chr19,42518250,42519438,1189,*,8.68,8.86,8.47,0.39,0.00678,0.0435
chr13,67450995,67452160,1166,*,8.61,8.79,8.4,0.39,0.00678,0.0435
chr4,62673634,62674643,1010,*,7.67,7.93,7.34,0.59,0.00678,0.0435
chr8,107056062,107057469,1408,*,8.96,9.12,8.78,0.34,0.00679,0.0435
chr1,10993139,10994992,1854,*,8.98,9.15,8.79,0.36,0.00679,0.0435
chr1,185362506,185364134,1629,*,9.71,9.85,9.56,0.29,0.00679,0.0435
chr7,83809743,83810340,598,*,7.33,7.61,6.98,0.63,0.0068,0.0435
chr17,55944481,55945924,1444,*,8.61,8.8,8.41,0.39,0.0068,0.0435
chr12,95746633,95747748,1116,*,8.49,8.68,8.28,0.41,0.0068,0.0435
chr2,35581333,35583228,1896,*,8.38,8.6,8.13,0.46,0.0068,0.0436
chr12,16810554,16811799,1246,*,8.55,8.73,8.34,0.4,0.00681,0.0436
chr14,36316480,36317542,1063,*,8.7,8.88,8.5,0.38,0.00681,0.0436
chr11,29645238,29645899,662,*,7.67,7.92,7.37,0.55,0.00681,0.0436
chr5,73490212,73491489,1278,*,9.43,9.57,9.27,0.3,0.00681,0.0436
chr10,29146326,29147661,1336,*,8.78,8.97,8.57,0.4,0.00681,0.0436
chr7,47409280,47410243,964,*,7.66,7.35,7.91,-0.56,0.00681,0.0436
chrX,95658055,95659561,1507,*,8.2,8.42,7.93,0.49,0.00682,0.0436
chr2,52525690,52526929,1240,*,8.99,9.15,8.81,0.34,0.00683,0.0436
chr12,107645211,107646176,966,*,8.26,8.46,8.02,0.44,0.00683,0.0436
chr12,51347361,51349011,1651,*,9.11,9.27,8.94,0.33,0.00683,0.0436
chr13,116705551,116706900,1350,*,7.97,8.2,7.68,0.52,0.00683,0.0436
chr10,58812037,58814274,2238,*,9.05,9.24,8.83,0.42,0.00684,0.0436
chr2,10166453,10167641,1189,*,8.36,8.57,8.11,0.46,0.00684,0.0436
chr5,147340778,147341620,843,*,7.45,7.72,7.11,0.61,0.00684,0.0437
chr2,37779976,37781007,1032,*,8.46,8.66,8.23,0.43,0.00684,0.0437
chr7,30072059,30073057,999,*,7.98,8.2,7.71,0.49,0.00685,0.0437
chr3,116835710,116836515,806,*,7.4,7.68,7.06,0.63,0.00686,0.0438
chr9,77916934,77918465,1532,*,9.31,9.46,9.14,0.32,0.00686,0.0438
chr13,77134723,77136018,1296,*,9.05,9.22,8.86,0.35,0.00686,0.0438
chr2,3158545,3159626,1082,*,8.73,8.91,8.53,0.39,0.00687,0.0438
chr16,50528711,50530549,1839,*,9.5,9.65,9.35,0.3,0.00688,0.0438
chr2,9593629,9594562,934,*,9.27,9.42,9.1,0.32,0.00688,0.0438
chr9,86694983,86696493,1511,*,8.78,8.96,8.57,0.39,0.00688,0.0438
chr9,83145646,83147085,1440,*,9.31,9.47,9.14,0.32,0.00689,0.0439
chr6,136930437,136931349,913,*,8.66,8.84,8.46,0.38,0.00689,0.0439
chr2,173658848,173660636,1789,*,9.63,9.77,9.47,0.29,0.0069,0.0439
chr5,45292275,45293511,1237,*,8.56,8.76,8.34,0.42,0.0069,0.0439
chr8,95715437,95717094,1658,*,8.71,8.89,8.5,0.39,0.00692,0.044
chr5,129715222,129716122,901,*,8.24,8.45,8,0.45,0.00692,0.044
chr5,21411020,21412553,1534,*,8.91,9.09,8.7,0.39,0.00693,0.0441
chr17,40933816,40935412,1597,*,9.4,9.54,9.24,0.3,0.00694,0.0441
chr19,36006161,36007092,932,*,7.79,8.03,7.49,0.54,0.00694,0.0441
chr10,83543463,83544714,1252,*,8.92,9.08,8.73,0.35,0.00695,0.0442
chr7,5060209,5062853,2645,*,10.49,10.6,10.36,0.23,0.00695,0.0442
chr12,55835788,55837170,1383,*,9.47,9.61,9.32,0.29,0.00695,0.0442
chr13,51792381,51793976,1596,*,9.06,9.23,8.87,0.36,0.00696,0.0442
chr19,47730536,47732225,1690,*,10.17,10.29,10.04,0.26,0.00696,0.0442
chr1,164306880,164308168,1289,*,8.98,9.14,8.79,0.35,0.00697,0.0442
chr7,49777835,49779669,1835,*,9.49,9.63,9.34,0.3,0.00697,0.0442
chr7,104369251,104370812,1562,*,9.04,9.2,8.87,0.33,0.00697,0.0442
chr7,49633259,49633960,702,*,8.51,8.7,8.3,0.4,0.00697,0.0442
chr4,37412609,37413517,909,*,7.6,7.87,7.29,0.58,0.00697,0.0442
chr2,156311376,156312950,1575,*,8.94,9.11,8.76,0.35,0.00698,0.0442
chr8,72239416,72240948,1533,*,9.58,9.72,9.43,0.28,0.00698,0.0442
chr13,63814601,63816064,1464,*,9.48,9.62,9.33,0.3,0.00699,0.0443
chr15,5143133,5144653,1521,*,9.27,9.43,9.1,0.33,0.00699,0.0443
chr15,65786584,65788210,1627,*,9.35,9.49,9.19,0.3,0.00699,0.0443
chr5,146793838,146795363,1526,*,9.44,9.58,9.28,0.3,0.00699,0.0443
chr4,44981069,44982224,1156,*,8.75,8.93,8.54,0.39,0.007,0.0443
chr10,81357045,81358127,1083,*,8.56,8.75,8.36,0.39,0.007,0.0443
chr4,132214738,132215350,613,*,8.01,8.23,7.75,0.48,0.007,0.0443
chr13,93498296,93500529,2234,*,9.76,9.9,9.62,0.28,0.00701,0.0443
chr15,68258000,68260245,2246,*,9.85,9.98,9.71,0.27,0.00701,0.0443
chr8,25518637,25519762,1126,*,8.89,9.06,8.69,0.37,0.00701,0.0443
chr11,73084159,73084999,841,*,7.55,7.82,7.22,0.6,0.00701,0.0443
chr11,67024572,67025571,1000,*,8.77,8.94,8.57,0.37,0.00701,0.0443
chr12,28751440,28752217,778,*,8.53,8.72,8.31,0.4,0.00701,0.0443
chr5,105518672,105520098,1427,*,9.53,9.68,9.37,0.31,0.00702,0.0443
chr2,6100187,6101185,999,*,8.01,8.24,7.75,0.49,0.00702,0.0443
chr4,32799597,32801214,1618,*,8.34,8.54,8.11,0.43,0.00702,0.0443
chr1,44101383,44102831,1449,*,9.39,9.54,9.24,0.3,0.00703,0.0444
chr4,11965537,11967062,1526,*,9.93,10.06,9.79,0.27,0.00703,0.0444
chr11,77077678,77078940,1263,*,8.39,8.59,8.15,0.44,0.00703,0.0444
chr14,20451421,20452534,1114,*,7.57,7.83,7.25,0.58,0.00703,0.0444
chr19,8919791,8921431,1641,*,8.61,8.79,8.39,0.4,0.00703,0.0444
chr14,47297778,47299403,1626,*,9.16,9.31,8.99,0.32,0.00704,0.0444
chr10,7390438,7393778,3341,*,9.19,9.36,9,0.36,0.00704,0.0444
chr8,117543041,117544254,1214,*,8.76,8.93,8.56,0.37,0.00704,0.0444
chr2,29672621,29673454,834,*,7.98,8.21,7.7,0.5,0.00705,0.0444
chr17,23563569,23564717,1149,*,9,9.17,8.82,0.34,0.00705,0.0445
chr19,31663597,31665353,1757,*,9.03,9.2,8.84,0.35,0.00707,0.0445
chr6,124779328,124780279,952,*,8.24,8.45,8,0.45,0.00707,0.0445
chr7,4865626,4867066,1441,*,8.94,9.1,8.75,0.36,0.00708,0.0446
chr2,5844501,5845750,1250,*,8.84,9.01,8.65,0.36,0.00708,0.0446
chr2,94157467,94158621,1155,*,9.62,9.76,9.47,0.29,0.00708,0.0446
chr3,58882819,58883542,724,*,7.47,7.74,7.14,0.6,0.00708,0.0446
chr18,15149658,15151534,1877,*,9.82,9.95,9.68,0.26,0.0071,0.0447
chr8,33599278,33600750,1473,*,9.41,9.55,9.25,0.3,0.0071,0.0447
chr8,119412151,119413190,1040,*,7.52,7.79,7.2,0.59,0.0071,0.0447
chr5,24444541,24445660,1120,*,8.7,8.87,8.5,0.38,0.0071,0.0447
chr5,104021374,104022426,1053,*,8.5,8.69,8.28,0.41,0.0071,0.0447
chr10,30599870,30601247,1378,*,8.74,8.92,8.53,0.38,0.00711,0.0447
chr6,28318927,28320109,1183,*,8.29,8.49,8.06,0.43,0.00711,0.0447
chr18,84719280,84721251,1972,*,8.23,8.44,7.98,0.45,0.00711,0.0447
chrX,99975000,99976810,1811,*,9.25,9.41,9.07,0.35,0.00712,0.0447
chr18,90579121,90580295,1175,*,9.13,9.29,8.95,0.34,0.00712,0.0447
chr9,110896358,110897260,903,*,7.64,7.89,7.34,0.55,0.00712,0.0447
chr18,61706663,61708117,1455,*,8.98,9.14,8.8,0.34,0.00713,0.0447
chr11,46326102,46327285,1184,*,8.21,8.42,7.97,0.45,0.00713,0.0447
chr9,42094373,42095266,894,*,8.1,8.32,7.85,0.46,0.00713,0.0447
chr16,89773750,89774852,1103,*,8.38,8.57,8.15,0.42,0.00713,0.0448
chr14,103345782,103347345,1564,*,9.62,9.76,9.47,0.29,0.00715,0.0449
chr10,61535927,61537229,1303,*,8.02,8.24,7.75,0.49,0.00716,0.0449
chr3,83765816,83767096,1281,*,7.9,8.14,7.61,0.54,0.00716,0.0449
chr6,71439613,71441513,1901,*,10.13,10.25,10,0.25,0.00716,0.0449
chr8,74638745,74639831,1087,*,7.44,7.71,7.11,0.61,0.00716,0.0449
chr7,68073144,68073872,729,*,8.04,8.26,7.78,0.48,0.00716,0.0449
chr7,52005133,52006858,1726,*,9.84,9.97,9.69,0.28,0.00717,0.0449
chr6,120916185,120917626,1442,*,8.9,9.06,8.72,0.35,0.00717,0.0449
chr2,69860870,69862549,1680,*,8.96,9.12,8.77,0.35,0.00717,0.0449
chr19,10979206,10980418,1213,*,8.57,8.75,8.35,0.4,0.00718,0.0449
chr11,23894264,23895747,1484,*,8.99,9.15,8.81,0.34,0.00718,0.0449
chr13,23463370,23465988,2619,*,8.6,8.79,8.38,0.41,0.00718,0.0449
chr2,129129036,129130241,1206,*,8.64,8.81,8.43,0.38,0.00718,0.0449
chr2,145233659,145234562,904,*,8.67,8.85,8.47,0.38,0.00719,0.045
chr10,128082260,128083912,1653,*,9.04,9.2,8.86,0.34,0.00719,0.045
chr2,143914309,143916542,2234,*,9.75,9.88,9.6,0.28,0.0072,0.045
chr18,6489612,6491455,1844,*,10.01,10.13,9.87,0.26,0.0072,0.045
chr17,71526269,71527572,1304,*,9.35,9.49,9.2,0.3,0.0072,0.045
chr5,44225840,44227609,1770,*,9.65,9.78,9.5,0.28,0.0072,0.045
chr3,65391611,65392938,1328,*,9.26,9.41,9.09,0.33,0.0072,0.045
chr4,19568983,19570415,1433,*,9.11,9.27,8.93,0.33,0.00721,0.045
chr13,21786732,21787942,1211,*,8.99,9.15,8.8,0.35,0.00721,0.045
chr11,60878067,60879756,1690,*,9.56,9.71,9.4,0.31,0.00722,0.045
chr8,111521522,111522571,1050,*,8.69,8.87,8.49,0.38,0.00722,0.045
chrX,103694849,103696305,1457,*,8.84,9.01,8.64,0.37,0.00722,0.045
chr11,16950660,16951881,1222,*,9.34,9.48,9.18,0.3,0.00722,0.045
