num.genes,GO,
1, glycoprotein transport [GO:0034436],
1, glycolipid binding [GO:0051861],
1, glycinergic synapse [GO:0098690],
1, glycerophospholipid catabolic process [GO:0046475],
1, glucose homeostasis [GO:0042593],
1, gluconolactonase activity [GO:0004341],
1, glucocorticoid receptor binding [GO:0035259],
1, glomerulus development [GO:0032835],
1, glomerular visceral epithelial cell development [GO:0072015],
1, glomerular mesangial cell proliferation [GO:0072110],
1, glomerular endothelium fenestra [GO:0036053],
1, glomerular endothelium development [GO:0072011],
1, glomerular basement membrane development [GO:0032836],
1, glial cell migration [GO:0008347],
1, glial cell fate determination [GO:0007403],
1, germinal center formation [GO:0002467],
1, genetic imprinting [GO:0071514],
1, generation of ovulation cycle rhythm [GO:0060112],
1, generation of neurons [GO:0048699],
1, gene silencing by RNA [GO:0031047],
1, gamma-catenin binding [GO:0045295],
1, gamma-aminobutyric acid catabolic process [GO:0009450],
1, gamma-aminobutyric acid biosynthetic process [GO:0009449],
1, galanin receptor activity [GO:0004966],
1, galactosyltransferase activity [GO:0008378],
1, galactose binding [GO:0005534],
1, fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342],
1, fucose binding [GO:0042806],
1, frizzled binding [GO:0005109],
1, focal adhesion assembly [GO:0048041],
1, flippase activity [GO:0140327],
1, flavin adenine dinucleotide binding [GO:0050660],
1, flagellated sperm motility [GO:0030317],
1, filopodium membrane [GO:0031527],
1, filopodium assembly [GO:0046847],
1, filopodium [GO:0030175],
1, fibrous ring of heart morphogenesis [GO:1905285],
1, fibrinogen binding [GO:0070051],
1, fertilization [GO:0009566],
1, ferric-chelate reductase activity [GO:0000293],
1, female mating behavior [GO:0060180],
1, female gonad development [GO:0008585],
1, fatty acid transport [GO:0015908],
1, fatty acid biosynthetic process [GO:0006633],
1, fat cell differentiation [GO:0045444],
1, face morphogenesis [GO:0060325],
1, eyelid development in camera-type eye [GO:0061029],
1, eye photoreceptor cell development [GO:0042462],
1, eye development [GO:0001654],
1, extrinsic component of plasma membrane [GO:0019897],
1, extrinsic component of membrane [GO:0019898],
1, extrinsic component of cytoplasmic side of plasma membrane [GO:0031234],
1, extrathymic T cell selection [GO:0045062],
1, extracellular matrix structural constituent [GO:0005201],
1, extracellular matrix constituent conferring elasticity [GO:0030023],
1, extracellular matrix binding [GO:0050840],
1, extracellular exosome assembly [GO:0071971],
1, external side of apical plasma membrane [GO:0098591],
1, export across plasma membrane [GO:0140115],
1, exploration behavior [GO:0035640],
1, exocytosis [GO:0006887],
1, estrous cycle [GO:0044849],
1, estrogen metabolic process [GO:0008210],
1, establishment or maintenance of cell polarity [GO:0007163],
1, establishment or maintenance of actin cytoskeleton polarity [GO:0030950],
1, establishment of protein localization to organelle [GO:0072594],
1, establishment of endothelial blood-brain barrier [GO:0014045],
1, establishment of endothelial barrier [GO:0061028],
1, establishment of cell polarity involved in ameboidal cell migration [GO:0003365],
1, establishment of blood-retinal barrier [GO:1990963],
1, establishment of T cell polarity [GO:0001768],
1, erythrocyte homeostasis [GO:0034101],
1, erythrocyte development [GO:0048821],
1, ergosterol biosynthetic process [GO:0006696],
1, epithelial cell-cell adhesion [GO:0090136],
1, epithelial cell maturation [GO:0002070],
1, epithelial cell differentiation involved in mammary gland alveolus development [GO:0061030],
1, epinephrine secretion [GO:0048242],
1, epidermis development [GO:0008544],
1, epidermal growth factor receptor binding [GO:0005154],
1, ephrin receptor signaling pathway [GO:0048013],
1, ephrin receptor binding [GO:0046875],
1, enzyme regulator activity [GO:0030234],
1, enzyme linked receptor protein signaling pathway [GO:0007167],
1, enucleate erythrocyte differentiation [GO:0043353],
1, entrainment of circadian clock by photoperiod [GO:0043153],
1, entrainment of circadian clock [GO:0009649],
1, enteric nervous system development [GO:0048484],
1, endothelial cell migration [GO:0043542],
1, endosome to melanosome transport [GO:0035646],
1, endosome membrane [GO:0010008],
1, endosome lumen [GO:0031904],
1, endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116],
1, endoplasmic reticulum unfolded protein response [GO:0030968],
1, endoplasmic reticulum lumen [GO:0005788],
1, endopeptidase inhibitor activity [GO:0004866],
1, endonuclease activity [GO:0004519],
1, endodermal digestive tract morphogenesis [GO:0061031],
1, endocytic recycling [GO:0032456],
1, endocrine pancreas development [GO:0031018],
1, endochondral ossification [GO:0001958],
1, endochondral bone growth [GO:0003416],
1, endocardial cushion to mesenchymal transition involved in heart valve formation [GO:0003199],
1, endocardial cushion morphogenesis [GO:0003203],
1, endocardial cushion formation [GO:0003272],
1, endocardial cell differentiation [GO:0060956],
1, embryonic viscerocranium morphogenesis [GO:0048703],
1, embryonic process involved in female pregnancy [GO:0060136],
1, embryonic morphogenesis [GO:0048598],
1, embryonic limb morphogenesis [GO:0030326],
1, embryonic heart tube development [GO:0035050],
1, embryonic forelimb morphogenesis [GO:0035115],
1, embryonic foregut morphogenesis [GO:0048617],
1, embryonic eye morphogenesis [GO:0048048],
1, embryonic digit morphogenesis [GO:0042733],
1, embryonic digestive tract morphogenesis [GO:0048557],
1, embryonic cranial skeleton morphogenesis [GO:0048701],
1, embryonic camera-type eye development [GO:0031076],
1, electron transport chain [GO:0022900],
1, efflux transmembrane transporter activity [GO:0015562],
1, ectoderm development [GO:0007398],
1, early phagosome [GO:0032009],
1, early endosome to Golgi transport [GO:0034498],
1, early endosome lumen [GO:0031905],
1, ductus arteriosus closure [GO:0097070],
1, drug metabolic process [GO:0017144],
1, double-stranded methylated DNA binding [GO:0010385],
1, dorsal/ventral pattern formation [GO:0009953],
1, dorsal spinal cord development [GO:0021516],
1, dorsal aorta morphogenesis [GO:0035912],
1, dopaminergic neuron differentiation [GO:0071542],
1, digestive tract morphogenesis [GO:0048546],
1, developmental growth [GO:0048589],
1, development of primary male sexual characteristics [GO:0046546],
1, detoxification of copper ion [GO:0010273],
1, dephosphorylation [GO:0016311],
1, dentate gyrus development [GO:0021542],
1, dendritic spine organization [GO:0097061],
1, dendritic spine head [GO:0044327],
1, dendritic spine development [GO:0060996],
1, dendritic shaft [GO:0043198],
1, dendritic cell homeostasis [GO:0036145],
1, dendritic cell chemotaxis [GO:0002407],
1, dendrite morphogenesis [GO:0048813],
1, dendrite membrane [GO:0032590],
1, dendrite development [GO:0016358],
1, defense response to Gram-positive bacterium [GO:0050830],
1, defense response to Gram-negative bacterium [GO:0050829],
1, defense response [GO:0006952],
1, decidualization [GO:0046697],
1, decanoate-CoA ligase activity [GO:0102391],
1, daunorubicin transport [GO:0043215],
1, cytoskeleton of presynaptic active zone [GO:0048788],
1, cytoskeletal protein binding [GO:0008092],
1, cytoplasmic vesicle lumen [GO:0060205],
1, cytoplasmic stress granule [GO:0010494],
1, cytoplasmic side of plasma membrane [GO:0009898],
1, cytoplasmic ribonucleoprotein granule [GO:0036464],
1, cytoplasmic microtubule [GO:0005881],
1, cytokine-mediated signaling pathway [GO:0019221],
1, cytokine receptor binding [GO:0005126],
1, cytokine production [GO:0001816],
1, cysteinyl leukotriene receptor activity [GO:0001631],
1, cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199],
1, cuticular plate [GO:0032437],
1, cuprous ion binding [GO:1903136],
1, cupric ion binding [GO:1903135],
1, craniofacial suture morphogenesis [GO:0097094],
1, costamere [GO:0043034],
1, cornification [GO:0070268],
1, coreceptor activity [GO:0015026],
1, core promoter sequence-specific DNA binding [GO:0001046],
1, copulation [GO:0007620],
1, convergent extension involved in somitogenesis [GO:0090246],
1, cone cell pedicle [GO:0044316],
1, complement component C1q binding [GO:0001849],
1, complement binding [GO:0001848],
1, complement activation classical pathway [GO:0006958],
1, complement activation [GO:0006956],
1, collagen type IV trimer [GO:0005587],
1, collagen fibril organization [GO:0030199],
1, cognition [GO:0050890],
1, co-receptor binding [GO:0039706],
1, cleavage furrow [GO:0032154],
1, clathrin-coated pit [GO:0005905],
1, clathrin-coated endocytic vesicle [GO:0045334],
1, clathrin binding [GO:0030276],
1, circadian temperature homeostasis [GO:0060086],
1, ciliary membrane [GO:0060170],
1, chylomicron remodeling [GO:0034371],
1, chylomicron [GO:0042627],
1, chromosome organization [GO:0051276],
1, chromatin remodeling [GO:0006338],
1, chromatin organization [GO:0006325],
1, chromaffin granule [GO:0042583],
1, chondrocyte proliferation [GO:0035988],
1, chondrocyte differentiation [GO:0002062],
1, cholinergic synapse [GO:0098981],
1, choline binding [GO:0033265],
1, cholesterol metabolic process [GO:0008203],
1, cholesterol homeostasis [GO:0042632],
1, cholesterol binding [GO:0015485],
1, chloride transport [GO:0006821],
1, chloride transmembrane transport [GO:1902476],
1, chloride channel regulator activity [GO:0017081],
1, chloride channel complex [GO:0034707],
1, chloride channel activity [GO:0005254],
1, chemotaxis [GO:0006935],
1, chemorepellent activity [GO:0045499],
1, chemokinesis [GO:0042466],
1, chemokine receptor binding [GO:0042379],
1, chemokine activity [GO:0008009],
1, chemoattractant activity [GO:0042056],
1, chaperone-mediated protein folding [GO:0061077],
1, chaperone-mediated protein complex assembly [GO:0051131],
1, chaperone-mediated autophagy translocation complex [GO:0061742],
1, chaperone-mediated autophagy [GO:0061684],
1, cerebral cortex neuron differentiation [GO:0021895],
1, cerebral cortex development [GO:0021987],
1, ceramide translocation [GO:0099040],
1, centralspindlin complex [GO:0097149],
1, central nervous system neuron development [GO:0021954],
1, central nervous system neuron axonogenesis [GO:0021955],
1, central nervous system myelination [GO:0022010],
1, central nervous system myelin maintenance [GO:0032286],
1, cellular zinc ion homeostasis [GO:0006882],
1, cellular senescence [GO:0090398],
1, cellular response to zinc ion [GO:0071294],
1, cellular response to xenobiotic stimulus [GO:0071466],
1, cellular response to vascular endothelial growth factor stimulus [GO:0035924],
1, cellular response to potassium ion starvation [GO:0051365],
1, cellular response to osmotic stress [GO:0071470],
1, cellular response to organic substance [GO:0071310],
1, cellular response to organic cyclic compound [GO:0071407],
1, cellular response to nutrient [GO:0031670],
1, cellular response to mycophenolic acid [GO:0071506],
1, cellular response to molecule of fungal origin [GO:0071226],
1, cellular response to lithium ion [GO:0071285],
1, cellular response to lipid hydroperoxide [GO:0071449],
1, cellular response to ionizing radiation [GO:0071479],
1, cellular response to interleukin-8 [GO:0098759],
1, cellular response to interleukin-7 [GO:0098761],
1, cellular response to interleukin-6 [GO:0071354],
1, cellular response to interleukin-1 [GO:0071347],
1, cellular response to interferon-gamma [GO:0071346],
1, cellular response to insulin-like growth factor stimulus [GO:1990314],
1, cellular response to hydroperoxide [GO:0071447],
1, cellular response to hydrogen sulfide [GO:1904881],
1, cellular response to granulocyte macrophage colony-stimulating factor stimulus [GO:0097011],
1, cellular response to gamma radiation [GO:0071480],
1, cellular response to fatty acid [GO:0071398],
1, cellular response to estrogen stimulus [GO:0071391],
1, cellular response to cytokine stimulus [GO:0071345],
1, cellular response to chromate [GO:0071247],
1, cellular response to caffeine [GO:0071313],
1, cellular response to antibiotic [GO:0071236],
1, cellular response to amyloid-beta [GO:1904646],
1, cellular response to X-ray [GO:0071481],
1, cellular response to UV [GO:0034644],
1, cellular protein localization [GO:0034613],
1, cellular metal ion homeostasis [GO:0006875],
1, cellular copper ion homeostasis [GO:0006878],
1, cell-substrate junction assembly [GO:0007044],
1, cell-cell junction organization [GO:0045216],
1, cell-cell junction maintenance [GO:0045217],
1, cell-cell contact zone [GO:0044291],
1, cell projection morphogenesis [GO:0048858],
1, cell projection [GO:0042995],
1, cell motility [GO:0048870],
1, cell morphogenesis involved in neuron differentiation [GO:0048667],
1, cell migration involved in gastrulation [GO:0042074],
1, cell junction assembly [GO:0034329],
1, cell fate determination [GO:0001709],
1, cell cortex [GO:0005938],
1, cell communication [GO:0007154],
1, cell chemotaxis [GO:0060326],
1, cell adhesion mediated by integrin [GO:0033627],
1, cation channel complex [GO:0034703],
1, catecholamine metabolic process [GO:0006584],
1, catabolism by host of symbiont protein [GO:0052362],
1, cargo receptor activity [GO:0038024],
1, cardiac septum morphogenesis [GO:0060411],
1, cardiac right ventricle morphogenesis [GO:0003215],
1, cardiac conduction system development [GO:0003161],
1, carboxypeptidase activity [GO:0004180],
1, carbohydrate metabolic process [GO:0005975],
1, carbohydrate export [GO:0033231],
1, canonical Wnt signaling pathway [GO:0060070],
1, camera-type eye development [GO:0043010],
1, calmodulin-dependent protein kinase activity [GO:0004683],
1, calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules [GO:0016338],
1, calcium-dependent phospholipase A2 activity [GO:0047498],
1, calcium channel regulator activity [GO:0005246],
1, cAMP-mediated signaling [GO:0019933],
1, cAMP response element binding [GO:0035497],
1, bundle of His development [GO:0003166],
1, bundle of His cell-Purkinje myocyte adhesion involved in cell communication [GO:0086073],
1, bud elongation involved in lung branching [GO:0060449],
1, brush border membrane [GO:0031526],
1, brown fat cell differentiation [GO:0050873],
1, branching morphogenesis of an epithelial tube [GO:0048754],
1, branching involved in salivary gland morphogenesis [GO:0060445],
1, branching involved in mammary gland duct morphogenesis [GO:0060444],
1, bone sialoprotein binding [GO:0044730],
1, bone resorption [GO:0045453],
1, body fluid secretion [GO:0007589],
1, blood vessel remodeling [GO:0001974],
1, blood vessel morphogenesis [GO:0048514],
1, blood vessel maturation [GO:0001955],
1, blastocyst hatching [GO:0001835],
1, blastocyst formation [GO:0001825],
1, biomineral tissue development [GO:0031214],
1, beta-catenin binding [GO:0008013],
1, beta selection [GO:0043366],
1, benzaldehyde dehydrogenase NAD+ activity [GO:0018479],
1, behavioral response to pain [GO:0048266],
1, behavioral response to nicotine [GO:0035095],
1, behavioral response to ethanol [GO:0048149],
1, behavioral response to cocaine [GO:0048148],
1, basolateral plasma membrane [GO:0016323],
1, basement membrane disassembly [GO:0034769],
1, basement membrane assembly [GO:0070831],
1, basal tubulobulbar complex [GO:0061829],
1, basal protein localization [GO:0045175],
1, basal plasma membrane [GO:0009925],
1, basal part of cell [GO:0045178],
1, axonogenesis [GO:0007409],
1, axonal fasciculation [GO:0007413],
1, axon regeneration [GO:0031103],
1, axon extension involved in axon guidance [GO:0048846],
1, axon development [GO:0061564],
1, axolemma [GO:0030673],
1, autophagosome maturation [GO:0097352],
1, autophagosome assembly [GO:0000045],
1, asymmetric synapse [GO:0032279],
1, astrocyte cell migration [GO:0043615],
1, aspartoacylase activity [GO:0019807],
1, aspartic-type endopeptidase inhibitor activity [GO:0019828],
1, aryl sulfotransferase activity [GO:0004062],
1, artery smooth muscle contraction [GO:0014824],
1, arachidonic acid secretion [GO:0050482],
1, arachidonic acid metabolic process [GO:0019369],
1, arachidonate-CoA ligase activity [GO:0047676],
1, apoptotic signaling pathway [GO:0097190],
1, apolipoprotein A-I-mediated signaling pathway [GO:0038027],
1, apicolateral plasma membrane [GO:0016327],
1, apical protein localization [GO:0045176],
1, apical dendrite [GO:0097440],
1, aortic valve morphogenesis [GO:0003180],
1, antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844],
1, antigen processing and presentation of peptide antigen [GO:0048002],
1, antigen processing and presentation [GO:0019882],
1, antibacterial humoral response [GO:0019731],
1, animal organ regeneration [GO:0031100],
1, animal organ morphogenesis [GO:0009887],
1, angiogenesis involved in wound healing [GO:0060055],
1, anchored component of presynaptic membrane [GO:0099026],
1, amylin receptor signaling pathway [GO:0097647],
1, amylin receptor complex 2 [GO:0150057],
1, amylin receptor activity [GO:0097643],
1, aminoacylase activity [GO:0004046],
1, amelogenesis [GO:0097186],
1, amacrine cell differentiation [GO:0035881],
1, alphav-beta3 integrin-PKCalpha complex [GO:0035866],
1, alphav-beta3 integrin-IGF-1-IGF1R complex [GO:0035867],
1, alphav-beta3 integrin-HMGB1 complex [GO:0035868],
1, aldehyde dehydrogenase NAD+ activity [GO:0004029],
1, adult walking behavior [GO:0007628],
1, adrenomedullin receptor signaling pathway [GO:1990410],
1, adrenomedullin receptor activity [GO:0001605],
1, adrenomedullin binding [GO:1990409],
1, adrenal gland development [GO:0030325],
1, adipose tissue development [GO:0060612],
1, adherens junction assembly [GO:0034333],
1, adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188],
1, adenylate cyclase binding [GO:0008179],
1, acyl-CoA ligase activity [GO:0003996],
1, acute-phase response [GO:0006953],
1, acute inflammatory response [GO:0002526],
1, actomyosin structure organization [GO:0031032],
1, activation of protein kinase B activity [GO:0032148],
1, activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919],
1, activation of cysteine-type endopeptidase activity [GO:0097202],
1, activation of MAPKKK activity [GO:0000185],
1, activation of MAPKK activity [GO:0000186],
1, activation of Janus kinase activity [GO:0042976],
1, activation of JUN kinase activity [GO:0007257],
1, activation of JNKK activity [GO:0007256],
1, activating transcription factor binding [GO:0033613],
1, actinin binding [GO:0042805],
1, actin filament organization [GO:0007015],
1, acid phosphatase activity [GO:0003993],
1, acetyltransferase activator activity [GO:0010698],
1, acetylcholine-gated cation-selective channel activity [GO:0022848],
1, acetylcholine receptor inhibitor activity [GO:0030550],
1, acetylcholine receptor binding [GO:0033130],
1, acetylcholine receptor activity [GO:0015464],
1, acetylcholine binding [GO:0042166],
1, acetate metabolic process [GO:0006083],
1, Wnt-protein binding [GO:0017147],
1, Wnt signaling pathway planar cell polarity pathway [GO:0060071],
1, Wnt signaling pathway involved in somitogenesis [GO:0090244],
1, Wnt signaling pathway [GO:0016055],
1, Weibel-Palade body [GO:0033093],
1, Toll-like receptor binding [GO:0035325],
1, TRAIL binding [GO:0045569],
1, T-helper cell differentiation [GO:0042093],
1, T-helper 1 cell differentiation [GO:0045063],
1, T-helper 1 cell cytokine production [GO:0035744],
1, T follicular helper cell differentiation [GO:0061470],
1, T cell receptor signaling pathway [GO:0050852],
1, T cell proliferation [GO:0042098],
1, T cell differentiation [GO:0030217],
1, T cell activation [GO:0042110],
1, Sertoli cell barrier remodeling [GO:0061843],
1, Schmidt-Lanterman incisure [GO:0043220],
1, SMAD protein signal transduction [GO:0060395],
1, SMAD binding [GO:0046332],
1, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146],
1, SCAR complex [GO:0031209],
1, Rho guanyl-nucleotide exchange factor activity [GO:0005089],
1, Rho GTPase binding [GO:0017048],
1, Ras protein signal transduction [GO:0007265],
1, Ral GTPase binding [GO:0017160],
1, Rac protein signal transduction [GO:0016601],
1, Rab protein signal transduction [GO:0032482],
1, Rab guanyl-nucleotide exchange factor activity [GO:0017112],
1, RNA polymerase II transcription factor binding [GO:0001085],
1, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979],
1, RNA polymerase II activating transcription factor binding [GO:0001102],
1, RNA phosphodiester bond hydrolysis [GO:0090501],
1, RNA destabilization [GO:0050779],
1, R-SMAD binding [GO:0070412],
1, Purkinje myocyte development [GO:0003165],
1, PDZ domain binding [GO:0030165],
1, PCSK9-AnxA2 complex [GO:1990667],
1, P-body [GO:0000932],
1, NLRP3 inflammasome complex [GO:0072559],
1, NK T cell proliferation [GO:0001866],
1, NK T cell lineage commitment [GO:0002364],
1, NAD+ nucleotidase cyclic ADP-ribose generating [GO:0061809],
1, NAD+ nucleosidase activity [GO:0003953],
1, NAD+ ADP-ribosyltransferase activity [GO:0003950],
1, NADP+-protein-arginine ADP-ribosyltransferase activity [GO:0003956],
1, NADP+ nucleosidase activity [GO:0050135],
1, NAD binding [GO:0051287],
1, N-retinylidene-phosphatidylethanolamine flippase activity [GO:0140347],
1, Mullerian duct regression [GO:0001880],
1, MAPK cascade [GO:0000165],
1, L-ascorbic acid biosynthetic process [GO:0019853],
1, JNK cascade [GO:0007254],
1, JAK pathway signal transduction adaptor activity [GO:0008269],
1, IPAF inflammasome complex [GO:0072557],
1, IMP salvage [GO:0032264],
1, IMP biosynthetic process [GO:0006188],
1, HMG box domain binding [GO:0071837],
1, Golgi-associated vesicle [GO:0005798],
1, Golgi to plasma membrane transport [GO:0006893],
1, Golgi to plasma membrane protein transport [GO:0043001],
1, Golgi to lysosome transport [GO:0090160],
1, Golgi stack [GO:0005795],
1, Golgi ribbon formation [GO:0090161],
1, Golgi organization [GO:0007030],
1, Golgi membrane [GO:0000139],
1, Golgi lumen [GO:0005796],
1, GTP-dependent protein binding [GO:0030742],
1, GTP metabolic process [GO:0046039],
1, GDP binding [GO:0019003],
1, GABA-gated chloride ion channel activity [GO:0022851],
1, GABA-ergic synapse [GO:0098982],
1, GABA-A receptor complex [GO:1902711],
1, GABA-A receptor activity [GO:0004890],
1, GABA receptor binding [GO:0050811],
1, G2/M transition of mitotic cell cycle [GO:0000086],
1, G protein-coupled peptide receptor activity [GO:0008528],
1, FAD binding [GO:0071949],
1, DNA-dependent DNA replication [GO:0006261],
1, DNA unwinding involved in DNA replication [GO:0006268],
1, DNA strand elongation involved in DNA replication [GO:0006271],
1, DNA replication factor C complex [GO:0005663],
1, DNA methylation involved in gamete generation [GO:0043046],
1, DNA methylation involved in embryo development [GO:0043045],
1, DNA methylation [GO:0006306],
1, DNA damage response signal transduction by p53 class mediator [GO:0030330],
1, DNA clamp loader activity [GO:0003689],
1, DNA cytosine-5--methyltransferase activity acting on CpN substrates [GO:0051719],
1, DNA cytosine-5--methyltransferase activity acting on CpG substrates [GO:0051718],
1, DNA cytosine-5--methyltransferase activity [GO:0003886],
1, D-lactate dehydrogenase activity [GO:0008720],
1, D-lactate dehydrogenase cytochrome activity [GO:0004458],
1, Cul5-RING ubiquitin ligase complex [GO:0031466],
1, CD8-positive alpha-beta T cell lineage commitment [GO:0043375],
1, CD4-positive alpha-beta T cell lineage commitment [GO:0043373],
1, CD4-positive CD25-positive alpha-beta regulatory T cell lineage commitment [GO:0002362],
1, C-C chemokine binding [GO:0019957],
1, C-5 methylation of cytosine [GO:0090116],
1, C-22 sterol desaturase activity [GO:0000249],
1, BMP signaling pathway involved in heart development [GO:0061312],
1, BMP receptor binding [GO:0070700],
1, BMP receptor activity [GO:0098821],
1, B cell differentiation [GO:0030183],
1, ATPase-coupled intramembrane lipid transporter activity [GO:0140326],
1, ATP-dependent protein binding [GO:0043008],
1, ATP metabolic process [GO:0046034],
1, ATP biosynthetic process [GO:0006754],
1, AMP metabolic process [GO:0046033],
1, AMP deaminase activity [GO:0003876],
1, ADP metabolic process [GO:0046031],
1, 9-cis-retinoic acid metabolic process [GO:0042905],
1, 9-cis-retinoic acid biosynthetic process [GO:0042904],
1, 4-nitrophenol metabolic process [GO:0018960],
1, 4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386],
1, 4-aminobutyrate transaminase activity [GO:0003867],
1, 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028],
1,-phosphoadenosine 5,"-phosphosulfate binding [GO:0050656]"""
1,"-UTR-mediated mRNA stabilization [GO:0070935]""",
1,"-UTR-mediated mRNA destabilization [GO:0061158]""",
1, 14-3-3 protein binding [GO:0071889],
1, 1-phosphatidylinositol-3-kinase regulator activity [GO:0046935],
1, S-3-amino-2-methylpropionate transaminase activity [GO:0047298],
